0,1,2,3
Avengers: Endgame,2798000000,2019,94
Avatar,2790000000,2009,82
Titanic,2188000000,1997,89
Star Wars: Episode VII - The Force Awakens,2068000000,2015,93
Avengers: Infinity War,2048000000,2018,85
Jurassic World,1672000000,2015,72
The Lion King,1655000000,2019,53
Marvel's The Avengers,1519000000,2012,91
Furious 7,1516000000,2015,81
Avengers: Age of Ultron,1405000000,2015,75
Frozen II,1371000000,2019,77
Black Panther,1347000000,2018,97
Harry Potter and the Deathly Hallows - Part 2,1342000000,2011,96
Star Wars: The Last Jedi,1333000000,2017,91
Jurassic World: Fallen Kingdom,1309000000,2018,48
Frozen,1277000000,2013,90
Beauty and the Beast,1264000000,2017,71
Incredibles 2,1243000000,2018,94
The Fate of the Furious,1236000000,2017,67
Iron Man 3,1215000000,2013,79
Minions,1159000000,2015,55
Captain America: Civil War,1153000000,2016,91
Aquaman,1148000000,2018,65
Spider-Man: Far From Home,1132000000,2019,91
Captain Marvel,1128000000,2019,78
Transformers: Dark of the Moon,1124000000,2011,35
The Lord of the Rings: The Return of the King,1120000000,2003,93
Skyfall,1109000000,2012,92
Transformers: Age of Extinction,1104000000,2014,18
The Dark Knight Rises,1085000000,2012,87
Toy Story 4,1073000000,2019,97
Toy Story 3,1067000000,2010,98
Pirates of the Caribbean: Dead Man's Chest,1066200000,2006,53
Joker,1063000000,2019,69
Rogue One: A Star Wars Story,1056000000,2016,83
Aladdin,1051000000,2019,57
Pirates of the Caribbean: On Stranger Tides,1046000000,2011,33
Despicable Me 3,1035000000,2017,58
Jurassic Park,1030000000,1993,91
Finding Dory,1029000000,2016,94
Star Wars: Episode I - The Phantom Menace,1027000000,1999,53
Alice in Wonderland,1026000000,2010,51
Zootopia,1024000000,2016,97
The Hobbit: An Unexpected Journey,1021000000,2012,64
The Dark Knight,1005000000,2008,94
Star Wars: The Rise of Skywalker,989500000,2019,53
Harry Potter and the Sorcerer's Stone,975100000,2001,81
Despicable Me 2,970800000,2013,75
The Lion King,968500000,1994,93
The Jungle Book,966600000,2016,95
